Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2017-03-31 23:00";3,8;71,5;2,72;9,2;66,9;58,4;-1,2;190;0,6
"2017-03-31 22:00";2,1;73,5;1,63;7,7;39,2;33,0;-0,6;209;0,2
"2017-03-31 21:00";1,1;49,6;0,66;25,2;17,0;11,0;0,3;281;0,4
"2017-03-31 20:00";1,6;35,7;0,40;45,4;14,0;5,5;1,1;121;0,1
"2017-03-31 19:00";2,1;13,4;0,35;70,8;13,3;5,9;1,6;57;0,7
"2017-03-31 18:00";1,6;9,3;0,24;74,6;10,0;7,0;1,6;31;1,0
"2017-03-31 17:00";1,7;9,2;0,25;73,9;8,9;7,0;1,4;24;1,2
"2017-03-31 16:00";2,2;13,6;0,25;69,2;8,9;7,7;1,4;52;1,2
"2017-03-31 15:00";3,6;22,3;0,31;60,1;8,1;9,2;1,3;70;1,3
"2017-03-31 14:00";2,4;24,2;0,36;58,7;9,6;9,9;0,8;88;1,6
"2017-03-31 13:00";3,2;27,0;0,32;54,7;12,2;8,4;0,5;84;1,6
"2017-03-31 12:00";1,6;23,8;0,28;58,4;10,3;5,9;0,2;82;1,6
"2017-03-31 11:00";1,3;17,8;0,32;65,1;9,2;5,1;0,1;111;1,3
"2017-03-31 10:00";1,5;16,7;0,28;67,8;9,2;4,8;-0,2;129;1,7
"2017-03-31 09:00";1,3;16,4;0,26;68,6;7,0;3,3;-0,4;135;1,9
"2017-03-31 08:00";1,6;11,7;0,27;71,2;6,7;1,8;-0,8;116;2,5
"2017-03-31 07:00";1,9;4,2;0,22;74,8;7,8;1,1;-1,0;111;2,2
"2017-03-31 06:00";2,3;2,4;0,21;75,7;7,8;1,1;-1,0;122;1,8
"2017-03-31 05:00";2,6;1,5;0,21;77,3;7,8;1,5;-0,3;133;1,5
"2017-03-31 04:00";3,2;2,8;0,22;74,9;10,3;2,2;0,2;132;1,3
"2017-03-31 03:00";4,2;5,1;0,25;66,6;11,8;3,7;0,0;153;1,0
"2017-03-31 02:00";4,9;6,6;0,26;66,1;15,5;4,4;-0,1;151;1,1
"2017-03-31 01:00";5,9;19,0;0,33;44,8;32,9;9,5;-0,3;127;0,5
"2017-03-31 00:00";5,6;28,6;0,45;35,2;55,4;16,1;-0,4;114;0,5
"2017-03-30 23:00";3,5;45,5;0,48;22,0;121,2;39,3;-0,4;106;0,5
"2017-03-30 22:00";4,2;82,6;1,71;11,4;189,2;67,5;0,8;153;0,5
"2017-03-30 21:00";5,3;91,5;2,36;16,7;126,4;48,4;1,9;184;0,7
"2017-03-30 20:00";2,8;40,3;0,91;57,0;39,5;12,8;2,8;194;0,7
"2017-03-30 19:00";1,8;12,4;0,35;80,7;24,0;2,9;3,5;237;0,9
"2017-03-30 18:00";1,0;7,7;0,27;84,6;18,1;2,2;4,2;237;0,7
"2017-03-30 17:00";0,6;6,6;0,27;85,4;15,1;0,7;4,4;266;0,9
"2017-03-30 16:00";0,2;4,6;0,25;85,4;12,6;0,4;4,0;325;1,3
"2017-03-30 15:00";0,0;5,1;0,23;84,3;10,0;0,7;3,0;319;1,7
"2017-03-30 14:00";0,5;4,1;0,23;84,5;11,5;1,5;3,0;317;1,3
"2017-03-30 13:00";0,4;4,0;0,23;85,8;14,4;2,9;2,8;316;1,7
"2017-03-30 12:00";0,8;4,7;0,23;83,4;16,6;4,0;2,2;320;1,8
"2017-03-30 11:00";0,9;6,0;0,24;74,5;21,8;5,5;1,4;319;1,8
"2017-03-30 10:00";1,2;11,1;0,26;60,8;28,5;7,0;-0,1;324;1,9
"2017-03-30 09:00";1,2;21,7;0,29;47,0;34,4;7,0;-1,3;319;1,7
"2017-03-30 08:00";1,2;28,6;0,45;34,8;28,5;5,9;-2,6;296;0,8
"2017-03-30 07:00";1,4;21,1;0,25;38,8;12,6;5,1;-2,8;293;0,7
"2017-03-30 06:00";2,4;8,1;0,23;52,8;9,2;4,0;-2,4;267;0,7
"2017-03-30 05:00";2,5;4,0;0,22;59,4;8,5;2,9;-1,5;267;0,8
"2017-03-30 04:00";1,9;3,8;0,22;61,2;4,4;4,4;-1,1;285;0,7
"2017-03-30 03:00";2,2;3,7;0,22;62,7;16,6;7,3;-0,8;275;0,9
"2017-03-30 02:00";2,6;20,7;0,41;43,8;34,0;11,0;-1,1;256;0,6
"2017-03-30 01:00";3,3;24,6;0,59;43,2;46,6;18,7;-1,6;226;0,5
"2017-03-30 00:00";3,0;47,6;0,93;24,4;68,0;26,1;-1,0;257;0,4
"2017-03-29 23:00";1,5;57,2;0,97;19,6;83,1;26,1;-0,6;262;0,5
"2017-03-29 22:00";0,8;57,9;0,81;19,7;90,5;37,1;0,0;276;0,5
"2017-03-29 21:00";0,9;33,3;0,54;47,5;76,1;42,2;0,9;345;0,6
"2017-03-29 20:00";0,7;18,2;0,41;67,0;47,7;26,1;2,4;328;1,4
"2017-03-29 19:00";0,7;20,4;0,36;64,7;27,3;9,5;2,7;324;1,5
"2017-03-29 18:00";0,1;9,0;0,26;75,8;17,7;2,2;3,5;317;1,7
"2017-03-29 17:00";-0,2;7,7;0,26;74,7;20,0;3,3;3,5;316;2,1
"2017-03-29 16:00";-0,3;8,0;0,28;73,8;18,8;3,3;3,4;317;2,0
"2017-03-29 15:00";-0,3;6,7;0,29;74,7;15,5;2,2;3,6;313;1,7
"2017-03-29 14:00";-0,3;5,4;0,23;75,3;12,6;1,1;3,5;308;2,0
"2017-03-29 13:00";0,1;5,2;0,24;73,1;13,3;0,7;3,2;311;1,5
"2017-03-29 12:00";0,4;4,4;0,25;69,5;14,4;2,2;2,7;307;1,3
"2017-03-29 11:00";0,5;7,4;0,27;60,6;17,4;5,1;1,7;264;0,9
"2017-03-29 10:00";0,7;8,2;0,27;57,1;31,4;6,6;0,1;311;1,4
"2017-03-29 09:00";0,3;23,4;0,32;40,7;35,1;5,5;-1,1;311;1,2
"2017-03-29 08:00";0,6;20,8;0,37;39,9;23,3;3,3;-2,6;274;0,8
"2017-03-29 07:00";0,4;16,5;0,24;45,9;12,2;1,8;-2,7;270;0,8
"2017-03-29 06:00";0,1;7,0;0,22;57,5;5,2;1,8;-2,5;280;0,9
"2017-03-29 05:00";0,0;2,2;0,21;62,8;6,3;2,2;-2,1;289;0,9
"2017-03-29 04:00";0,3;3,3;0,22;64,4;7,4;1,1;-1,8;274;1,0
"2017-03-29 03:00";0,5;2,8;0,22;67,0;5,9;0,0;-1,4;274;0,9
"2017-03-29 02:00";0,4;2,6;0,21;70,7;5,2;1,5;-0,8;284;0,8
"2017-03-29 01:00";0,4;4,5;0,22;72,3;6,7;3,7;-0,1;276;0,9
"2017-03-29 00:00";0,3;7,5;0,27;70,2;11,8;4,4;0,5;275;0,8
"2017-03-28 23:00";0,7;11,8;0,34;69,3;22,9;4,0;1,4;277;0,7
"2017-03-28 22:00";0,2;12,1;0,32;71,9;23,6;3,3;2,1;301;1,0
"2017-03-28 21:00";0,1;11,5;0,33;75,1;18,8;3,3;2,8;313;1,9
"2017-03-28 20:00";0,2;11,7;0,31;75,1;18,5;3,7;3,3;312;1,9
"2017-03-28 19:00";0,2;10,1;0,27;79,4;21,8;3,3;3,9;317;3,1
"2017-03-28 18:00";0,3;8,0;0,25;83,3;24,0;2,6;4,8;315;3,3
