Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2018-07-31 23:00";0,9;4,3;0,28;93,8;24,1;6,0;24,5;122;1,4
"2018-07-31 22:00";0,7;8,3;0,28;89,2;24,1;6,0;25,6;106;1,2
"2018-07-31 21:00";0,9;9,2;0,31;89,3;24,5;6,4;27,1;95;1,4
"2018-07-31 20:00";0,9;5,4;0,34;94,8;24,9;6,9;28,4;108;2,1
"2018-07-31 19:00";0,9;6,4;0,36;94,8;24,9;6,9;29,2;101;1,9
"2018-07-31 18:00";0,7;7,6;0,40;93,2;24,5;7,3;29,7;97;2,0
"2018-07-31 17:00";0,5;7,7;0,44;92,2;24,1;7,7;30,0;106;2,1
"2018-07-31 16:00";0,8;8,1;0,45;91,1;24,1;7,7;29,8;108;2,2
"2018-07-31 15:00";0,7;4,8;0,45;92,0;24,1;6,4;29,8;114;2,2
"2018-07-31 14:00";0,6;4,8;0,47;91,2;24,1;5,2;29,3;118;2,0
"2018-07-31 13:00";0,6;3,6;0,44;92,4;24,1;5,2;29,2;118;1,6
"2018-07-31 12:00";0,6;3,7;0,43;89,1;19,4;4,3;28,6;122;1,5
"2018-07-31 11:00";0,8;4,8;0,42;77,8;14,6;3,4;27,0;110;1,1
"2018-07-31 10:00";0,7;5,4;0,35;68,1;14,6;3,4;24,7;115;1,0
"2018-07-31 09:00";0,9;8,9;0,31;58,4;12,0;3,0;22,7;104;1,1
"2018-07-31 08:00";0,7;4,5;0,31;59,7;9,5;2,6;21,2;120;1,5
"2018-07-31 07:00";0,5;3,4;0,28;59,0;9,5;2,6;20,6;69;0,9
"2018-07-31 06:00";0,8;2,8;0,28;58,8;9,5;3,9;19,9;78;0,7
"2018-07-31 05:00";0,7;1,5;0,31;62,7;9,5;5,2;20,3;115;1,0
"2018-07-31 04:00";0,8;0,4;0,31;66,9;9,5;5,2;21,1;118;1,4
"2018-07-31 03:00";0,9;0,3;0,33;68,6;14,6;6,9;21,9;113;1,4
"2018-07-31 02:00";0,7;0,3;0,38;67,5;19,8;8,6;22,7;116;1,5
"2018-07-31 01:00";0,7;0,6;0,36;69,6;19,8;8,6;23,5;115;1,7
"2018-07-31 00:00";0,9;2,0;0,37;74,6;21,5;9,0;24,4;107;1,2
"2018-07-30 23:00";1,0;3,1;0,40;78,8;23,2;9,5;25,3;109;1,5
"2018-07-30 22:00";0,9;5,7;0,39;80,5;23,2;9,5;26,2;95;1,4
"2018-07-30 21:00";0,7;4,6;0,40;87,3;25,8;9,9;27,5;92;1,6
"2018-07-30 20:00";0,6;8,5;0,41;88,8;28,4;10,3;28,4;89;1,3
"2018-07-30 19:00";0,5;13,9;0,40;92,3;28,4;10,3;26,4;332;0,8
"2018-07-30 18:00";0,7;11,4;0,45;91,9;28,4;9,9;27,7;19;0,6
"2018-07-30 17:00";0,8;9,1;0,50;93,6;28,4;9,5;29,8;96;2,0
"2018-07-30 16:00";0,8;5,2;0,48;94,1;28,4;9,5;30,1;96;2,2
"2018-07-30 15:00";0,9;4,7;0,51;95,9;25,4;9,0;29,8;104;2,1
"2018-07-30 14:00";0,8;5,3;0,55;93,0;22,4;8,6;29,2;110;2,1
"2018-07-30 13:00";0,9;4,9;0,55;85,5;22,4;8,6;28,4;104;2,2
"2018-07-30 12:00";1,0;4,8;0,51;75,7;19,8;7,7;27,2;97;1,9
"2018-07-30 11:00";0,6;3,1;0,50;69,7;17,2;6,9;26,6;88;1,5
"2018-07-30 10:00";0,7;5,1;0,45;62,6;17,2;6,9;25,1;96;1,6
"2018-07-30 09:00";0,5;3,6;0,44;60,3;15,5;7,3;24,1;116;1,9
"2018-07-30 08:00";0,5;4,7;0,44;51,6;13,8;7,7;22,8;100;1,4
"2018-07-30 07:00";0,5;2,1;0,42;51,3;13,8;7,7;21,3;97;1,3
"2018-07-30 06:00";0,6;2,2;0,42;53,8;13,8;7,7;20,9;104;1,0
"2018-07-30 05:00";0,6;1,1;0,44;59,8;13,8;7,7;21,1;100;1,0
"2018-07-30 04:00";0,7;1,0;0,42;65,2;13,8;7,7;21,7;84;0,6
"2018-07-30 03:00";0,7;0,3;0,43;72,7;14,6;7,3;22,3;102;0,7
"2018-07-30 02:00";0,8;0,5;0,43;77,6;15,5;6,9;23,0;96;1,1
"2018-07-30 01:00";0,7;1,2;0,38;83,9;15,5;6,9;24,0;91;1,4
"2018-07-30 00:00";0,5;1,8;0,38;89,9;18,9;7,7;25,0;95;1,6
"2018-07-29 23:00";0,6;5,1;0,42;90,1;22,4;8,6;25,8;96;1,3
"2018-07-29 22:00";0,7;6,9;0,39;91,5;22,4;8,6;27,1;95;1,4
"2018-07-29 21:00";0,9;4,6;0,41;96,6;21,1;8,2;28,5;93;1,7
"2018-07-29 20:00";0,8;3,2;0,45;101,1;19,8;7,7;29,6;102;2,2
"2018-07-29 19:00";0,8;3,4;0,46;101,0;19,8;7,7;29,9;96;2,2
"2018-07-29 18:00";0,4;3,1;0,44;103,2;20,6;8,2;30,0;99;2,4
"2018-07-29 17:00";0,5;2,0;0,44;104,6;21,5;8,6;30,8;104;2,6
"2018-07-29 16:00";0,6;2,0;0,43;104,1;21,5;8,6;30,5;102;2,4
"2018-07-29 15:00";0,6;1,9;0,49;96,1;20,6;8,6;29,6;111;2,4
"2018-07-29 14:00";0,8;2,1;0,53;87,4;19,8;8,6;29,0;101;2,2
"2018-07-29 13:00";0,5;2,4;0,51;79,0;19,8;8,6;28,0;90;1,9
"2018-07-29 12:00";0,8;2,0;0,52;74,7;21,1;8,6;27,0;104;2,2
