Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2021-04-30 23:00";2,0;36,2;0,61;55,4;13,4;5,2;5,1;260;0,6
"2021-04-30 22:00";0,3;16,2;0,29;78,6;12,7;4,1;6,5;324;0,9
"2021-04-30 21:00";0,1;6,9;0,21;91,6;11,9;3,0;8,1;330;1,9
"2021-04-30 20:00";0,2;6,1;0,20;93,0;11,9;3,0;9,3;333;1,9
"2021-04-30 19:00";0,5;6,2;0,18;96,6;11,6;3,0;10,1;329;2,1
"2021-04-30 18:00";0,7;5,9;0,17;96,8;11,2;3,0;10,5;342;1,6
"2021-04-30 17:00";0,7;5,2;0,17;97,3;11,2;3,0;10,6;349;1,5
"2021-04-30 16:00";0,5;4,7;0,17;94,3;11,9;3,0;10,1;15;1,7
"2021-04-30 15:00";0,2;4,5;0,17;88,3;12,7;3,0;9,4;11;1,6
"2021-04-30 14:00";0,2;3,5;0,16;88,8;12,7;3,0;8,8;21;2,0
"2021-04-30 13:00";0,1;3,5;0,16;87,0;10,4;3,0;8,3;30;2,1
"2021-04-30 12:00";0,2;6,4;0,19;86,2;8,2;3,0;8,1;46;2,1
"2021-04-30 11:00";0,3;4,0;0,18;85,5;8,2;3,0;7,6;37;1,8
"2021-04-30 10:00";0,3;3,1;0,16;77,5;7,1;3,0;6,7;19;1,5
"2021-04-30 09:00";0,2;5,8;0,16;70,9;6,0;3,0;5,6;12;1,4
"2021-04-30 08:00";0,3;4,6;0,16;73,7;6,0;3,0;5,2;8;1,4
"2021-04-30 07:00";0,2;2,4;0,16;79,0;6,0;3,0;5,2;27;1,2
"2021-04-30 06:00";0,2;0,8;0,15;79,0;6,0;3,0;4,5;17;1,0
"2021-04-30 05:00";0,2;0,5;0,15;76,4;6,0;3,0;4,4;1;0,8
"2021-04-30 04:00";0,1;0,0;0,15;80,5;6,0;3,3;4,9;3;0,9
"2021-04-30 03:00";0,1;0,5;0,15;77,4;6,0;3,7;5,5;6;0,9
"2021-04-30 02:00";0,2;1,4;0,15;77,2;6,0;3,7;6,1;37;0,9
"2021-04-30 01:00";0,1;7,8;0,16;72,7;9,3;4,1;6,4;58;0,9
"2021-04-30 00:00";0,2;3,1;0,16;78,9;12,7;4,4;6,8;91;1,2
"2021-04-29 23:00";0,2;12,7;0,18;71,4;12,7;4,4;7,1;81;0,9
"2021-04-29 22:00";0,2;9,6;0,19;73,1;16,4;4,4;7,5;41;0,8
"2021-04-29 21:00";0,3;8,1;0,21;77,6;20,1;4,4;8,4;115;1,4
"2021-04-29 20:00";0,2;6,3;0,19;81,4;20,1;4,4;8,9;113;1,8
"2021-04-29 19:00";0,2;9,0;0,20;80,8;16,0;4,1;9,0;96;2,1
"2021-04-29 18:00";0,2;10,7;0,20;82,6;11,9;3,7;9,8;58;1,9
"2021-04-29 17:00";0,2;5,9;0,19;90,6;11,9;3,7;10,9;72;0,9
"2021-04-29 16:00";0,2;3,4;0,16;92,5;10,8;4,1;10,4;342;0,7
"2021-04-29 15:00";0,0;2,7;0,16;92,6;9,7;4,4;9,3;315;0,7
"2021-04-29 14:00";0,2;3,3;0,18;89,0;9,7;4,4;8,4;134;0,8
"2021-04-29 13:00";0,4;3,7;0,18;87,1;9,0;4,4;7,9;129;0,9
"2021-04-29 12:00";0,2;4,1;0,18;82,6;8,2;4,4;6,5;96;1,1
"2021-04-29 11:00";0,4;6,4;0,19;78,0;8,2;4,4;5,0;126;1,5
"2021-04-29 10:00";0,5;12,5;0,21;73,3;8,2;5,6;3,5;130;1,6
"2021-04-29 09:00";0,3;32,7;0,27;47,5;8,2;6,7;2,1;172;1,6
"2021-04-29 08:00";0,4;24,1;0,27;48,6;8,2;6,7;2,2;176;1,3
"2021-04-29 07:00";0,6;16,3;0,21;50,5;14,9;8,2;2,6;183;0,8
"2021-04-29 06:00";0,5;4,7;0,18;68,4;21,6;9,6;2,4;205;0,7
"2021-04-29 05:00";0,3;12,0;0,23;38,1;21,6;9,6;1,1;181;1,0
"2021-04-29 04:00";0,2;9,0;0,20;33,2;26,5;12,2;0,7;190;0,7
