Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2018-06-30 23:00";0,7;-0,3;0,11;64,4;6,8;0,0;12,8;346;1,1
"2018-06-30 22:00";0,9;0,3;0,12;64,7;6,8;0,0;13,2;344;1,2
"2018-06-30 21:00";0,9;1,8;0,12;61,7;7,3;0,0;13,3;335;1,5
"2018-06-30 20:00";0,9;0,1;0,11;63,2;7,7;0,0;13,7;352;1,3
"2018-06-30 19:00";0,8;-0,5;0,11;60,6;7,7;0,0;15,2;348;1,4
"2018-06-30 18:00";0,7;0,4;0,11;60,1;7,3;-0,4;15,1;347;1,6
"2018-06-30 17:00";0,8;-0,3;0,11;62,8;6,8;-0,9;15,2;349;1,6
"2018-06-30 16:00";0,7;0,4;0,11;62,6;6,8;-0,9;15,0;342;1,8
"2018-06-30 15:00";0,9;1,2;0,11;62,6;5,6;-0,9;15,0;340;1,9
"2018-06-30 14:00";0,7;2,2;0,11;62,8;4,3;-0,9;15,1;334;1,9
"2018-06-30 13:00";0,9;1,4;0,11;63,4;4,3;-0,9;15,0;330;2,2
"2018-06-30 12:00";0,8;0,8;0,11;57,8;3,4;-0,4;14,3;328;2,4
"2018-06-30 11:00";0,8;1,7;0,12;56,9;2,6;0,0;14,0;332;1,7
"2018-06-30 10:00";1,0;1,3;0,12;55,7;2,6;0,0;13,3;322;1,8
"2018-06-30 09:00";0,9;0,3;0,11;54,4;3,0;0,0;13,2;322;2,0
"2018-06-30 08:00";0,7;-0,0;0,11;49,2;3,4;0,0;12,0;312;1,7
"2018-06-30 07:00";0,9;-0,2;0,11;45,2;3,4;0,0;10,7;314;1,6
"2018-06-30 06:00";0,9;1,2;0,11;44,1;4,3;0,9;9,7;311;1,2
"2018-06-30 05:00";0,8;2,3;0,11;43,2;5,1;1,7;9,3;310;1,1
"2018-06-30 04:00";0,7;1,9;0,12;43,3;5,1;1,7;9,8;312;1,1
"2018-06-30 03:00";0,7;1,3;0,12;42,9;4,7;1,7;10,5;315;1,6
"2018-06-30 02:00";1,0;2,6;0,13;40,5;4,3;1,7;11,2;311;1,5
"2018-06-30 01:00";0,9;2,1;0,13;44,0;4,3;1,7;12,2;305;1,0
"2018-06-30 00:00";0,8;3,6;0,14;45,0;4,7;0,9;12,6;308;0,9
"2018-06-29 23:00";0,8;4,7;0,16;46,3;5,1;0,0;12,7;319;1,1
"2018-06-29 22:00";0,8;4,2;0,16;56,1;5,1;0,0;13,1;310;1,2
"2018-06-29 21:00";1,0;4,1;0,15;62,8;6,8;0,0;13,8;305;1,5
"2018-06-29 20:00";0,9;4,2;0,13;72,1;8,6;0,0;13,9;306;1,3
"2018-06-29 19:00";0,7;4,1;0,11;79,6;8,6;0,0;15,3;306;1,5
"2018-06-29 18:00";0,8;3,2;0,07;77,7;8,6;0,9;18,1;310;2,0
"2018-06-29 17:00";0,8;2,8;;76,4;8,6;1,7;18,7;293;1,2
"2018-06-29 16:00";0,9;2,1;;80,1;8,6;1,7;18,9;275;1,2
"2018-06-29 15:00";0,7;1,9;;81,5;11,1;1,7;18,7;284;1,1
