Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2019-02-28 23:00";-0,0;2,3;0,17;85,7;3,4;0,9;-1,3;335;2,6
"2019-02-28 22:00";0,2;2,9;0,18;82,4;4,3;0,9;-0,8;333;3,1
"2019-02-28 21:00";0,5;4,9;0,20;74,3;4,3;0,9;0,1;332;2,9
"2019-02-28 20:00";0,3;11,2;0,24;65,2;4,3;0,9;1,2;321;2,5
"2019-02-28 19:00";0,4;13,1;0,25;67,8;4,3;0,9;1,6;305;1,7
"2019-02-28 18:00";0,2;15,1;0,25;70,5;4,3;0,9;2,1;305;1,7
"2019-02-28 17:00";0,2;13,2;0,23;75,9;5,1;1,3;2,8;306;1,7
"2019-02-28 16:00";0,3;9,7;0,20;83,0;6,0;1,7;4,1;308;2,0
"2019-02-28 15:00";0,6;11,2;0,20;81,0;6,0;1,7;5,0;301;1,6
"2019-02-28 14:00";0,7;12,2;0,20;78,5;6,8;2,1;4,4;275;1,3
"2019-02-28 13:00";0,1;9,8;0,20;81,0;7,7;2,6;4,7;290;1,6
"2019-02-28 12:00";0,4;8,3;0,18;80,4;7,7;2,6;4,6;292;1,7
"2019-02-28 11:00";0,9;8,6;0,20;77,5;7,7;1,7;4,2;266;1,4
"2019-02-28 10:00";1,2;16,9;0,25;63,8;7,7;1,7;2,8;265;0,9
"2019-02-28 09:00";0,5;20,8;0,26;54,1;7,7;1,7;1,8;245;0,9
"2019-02-28 08:00";0,2;15,3;0,26;55,5;8,1;1,7;1,3;234;1,2
"2019-02-28 07:00";-0,0;6,6;0,19;60,8;8,5;1,7;1,1;241;1,0
"2019-02-28 06:00";0,0;4,1;0,16;61,9;8,5;1,7;1,3;236;1,2
"2019-02-28 05:00";0,0;3,4;0,16;63,0;9,0;3,4;1,3;229;1,1
"2019-02-28 04:00";0,3;3,5;0,16;62,0;9,4;5,1;1,2;225;1,2
"2019-02-28 03:00";0,2;4,0;0,18;59,5;9,4;5,1;0,7;216;0,8
"2019-02-28 02:00";0,1;3,9;0,20;57,9;11,5;6,8;0,5;217;1,0
"2019-02-28 01:00";0,6;4,6;0,22;59,1;13,7;8,5;0,7;220;0,9
"2019-02-28 00:00";0,4;8,8;0,33;56,6;13,7;8,5;0,9;209;0,6
"2019-02-27 23:00";0,5;14,9;0,48;52,0;15,4;9,0;1,5;199;0,9
"2019-02-27 22:00";1,2;15,0;0,39;53,5;17,1;9,4;2,0;229;0,5
"2019-02-27 21:00";0,4;16,4;0,48;53,6;17,1;9,4;2,3;209;1,0
"2019-02-27 20:00";0,5;18,8;0,51;52,5;12,8;6,8;2,3;212;1,1
"2019-02-27 19:00";0,6;20,0;0,47;53,5;8,5;4,3;2,7;217;1,0
"2019-02-27 18:00";0,5;21,5;0,42;53,9;8,5;4,3;3,0;219;0,9
"2019-02-27 17:00";0,4;18,8;0,38;58,8;8,5;4,3;3,3;207;1,1
"2019-02-27 16:00";0,4;13,4;0,31;65,3;8,5;4,3;3,5;233;1,0
"2019-02-27 15:00";0,5;11,7;0,30;67,5;8,5;4,3;3,3;204;1,2
"2019-02-27 14:00";0,4;11,1;0,32;69,9;9,4;5,6;3,2;192;1,5
"2019-02-27 13:00";0,4;11,8;0,31;67,8;10,2;6,8;2,5;191;1,5
"2019-02-27 12:00";0,3;12,0;0,34;63,7;10,2;6,8;1,6;198;1,3
"2019-02-27 11:00";0,2;14,0;0,36;59,6;9,8;6,0;1,0;207;1,4
"2019-02-27 10:00";0,2;17,4;0,41;54,7;9,4;5,1;0,6;204;1,3
"2019-02-27 09:00";0,4;25,3;0,43;41,3;9,4;5,1;0,0;200;1,3
"2019-02-27 08:00";0,5;23,7;0,36;36,4;8,1;4,3;-0,3;196;1,2
"2019-02-27 07:00";0,2;13,8;0,30;39,6;6,8;3,4;-0,6;192;1,4
"2019-02-27 06:00";0,1;10,5;0,21;41,4;6,8;3,4;-0,9;207;1,2
"2019-02-27 05:00";0,3;9,6;0,22;42,4;6,0;3,0;-1,2;205;1,2
"2019-02-27 04:00";0,6;16,7;0,29;33,6;5,1;2,6;-1,7;211;0,9
"2019-02-27 03:00";1,1;9,9;0,24;41,7;5,1;2,6;-1,6;216;0,8
"2019-02-27 02:00";0,8;8,1;0,20;49,0;5,6;3,4;-1,2;240;0,7
"2019-02-27 01:00";0,5;7,5;0,21;55,7;6,0;4,3;-0,7;296;1,1
"2019-02-27 00:00";-0,1;9,5;0,25;56,7;6,0;4,3;-0,5;297;1,1
"2019-02-26 23:00";0,2;13,5;0,28;58,1;5,6;3,4;-0,1;299;1,2
"2019-02-26 22:00";0,2;16,6;0,32;59,8;5,1;2,6;0,0;302;1,3
"2019-02-26 21:00";0,3;19,5;0,37;60,9;5,1;2,6;0,5;299;1,1
"2019-02-26 20:00";0,3;20,5;0,34;63,8;4,7;2,1;1,2;291;1,0
"2019-02-26 19:00";0,1;19,8;0,29;67,6;4,3;1,7;2,2;300;1,4
"2019-02-26 18:00";-0,0;19,2;0,29;70,9;4,3;1,7;2,5;309;1,7
"2019-02-26 17:00";0,0;14,0;0,26;77,2;4,7;1,3;2,6;312;2,1
"2019-02-26 16:00";0,3;10,2;0,19;80,2;5,1;0,9;2,9;316;2,3
"2019-02-26 15:00";0,2;11,8;0,19;79,5;5,1;0,9;3,0;323;2,6
"2019-02-26 14:00";0,3;8,1;0,20;82,9;3,4;0,4;2,8;317;2,8
"2019-02-26 13:00";0,2;10,0;0,22;81,7;1,7;0,0;2,7;315;2,3
"2019-02-26 12:00";0,1;7,9;0,19;82,8;1,7;0,0;2,8;318;2,4
"2019-02-26 11:00";0,4;10,3;0,19;80,4;1,7;-0,4;2,4;321;2,4
"2019-02-26 10:00";0,4;13,9;0,21;76,0;1,7;-0,9;2,2;322;1,9
"2019-02-26 09:00";0,7;16,7;0,23;70,4;1,7;-0,9;1,7;320;2,0
"2019-02-26 08:00";0,0;12,4;0,19;72,1;2,6;-0,9;1,4;311;1,8
"2019-02-26 07:00";0,1;5,1;0,16;79,7;3,4;-0,9;1,2;306;1,7
"2019-02-26 06:00";0,2;3,5;0,15;82,1;3,4;-0,9;1,2;300;1,4
"2019-02-26 05:00";0,1;2,5;0,15;82,7;4,3;-0,4;1,2;292;1,4
"2019-02-26 04:00";0,0;2,5;0,15;79,5;5,1;0,0;1,2;287;1,2
"2019-02-26 03:00";0,1;2,1;0,15;78,5;5,1;0,0;1,0;281;1,1
"2019-02-26 02:00";-0,1;2,0;0,15;80,7;6,4;0,9;1,1;287;1,1
"2019-02-26 01:00";0,3;1,9;0,16;83,3;7,7;1,7;1,9;284;1,1
"2019-02-26 00:00";0,4;3,9;0,17;81,3;7,7;1,7;1,9;273;1,2
"2019-02-25 23:00";0,1;8,5;0,18;77,9;7,7;1,7;2,0;277;0,9
"2019-02-25 22:00";0,3;8,2;0,21;79,8;7,7;1,7;2,4;279;1,0
"2019-02-25 21:00";0,3;13,3;0,30;75,9;7,7;1,7;3,0;273;1,0
"2019-02-25 20:00";0,2;18,7;0,29;72,8;7,3;1,3;3,6;279;0,9
