Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2021-08-31 23:00";0,3;5,1;0,25;59,7;11,9;4,7;14,1;320;1,4
"2021-08-31 22:00";0,1;6,8;0,26;64,6;12,7;4,4;15,1;325;0,9
"2021-08-31 21:00";0,2;7,2;0,27;64,7;12,7;4,4;15,7;325;1,0
"2021-08-31 20:00";0,4;6,7;0,26;67,9;13,4;4,4;16,2;336;0,9
"2021-08-31 19:00";0,2;8,5;0,26;68,2;14,2;4,4;16,5;336;0,8
"2021-08-31 18:00";0,2;8,2;0,26;68,1;14,2;4,4;16,3;355;0,7
"2021-08-31 17:00";0,2;7,0;0,25;69,2;14,2;4,7;16,4;353;0,7
"2021-08-31 16:00";0,3;5,5;0,24;73,9;14,2;5,1;16,7;1;0,7
"2021-08-31 15:00";0,3;5,4;0,25;69,5;14,2;5,1;16,0;42;1,1
"2021-08-31 14:00";0,2;6,2;0,24;67,4;13,8;5,1;15,7;44;1,3
"2021-08-31 13:00";0,3;3,7;0,24;69,2;13,4;5,1;16,2;356;0,9
"2021-08-31 12:00";0,4;4,1;0,24;70,3;13,4;5,1;15,4;7;0,8
"2021-08-31 11:00";0,3;5,7;0,24;66,6;14,2;5,5;14,7;16;0,8
"2021-08-31 10:00";0,3;5,4;0,24;67,6;14,9;5,8;14,4;4;0,8
"2021-08-31 09:00";0,0;4,2;0,24;68,6;14,9;5,8;14,0;29;0,9
"2021-08-31 08:00";0,3;5,6;0,25;51,2;15,7;6,2;13,6;12;0,7
"2021-08-31 07:00";0,3;6,1;0,24;32,0;16,4;6,6;13,1;354;0,5
"2021-08-31 06:00";0,2;6,7;0,24;33,4;16,4;6,6;13,4;344;0,7
"2021-08-31 05:00";0,3;5,6;0,24;38,2;14,9;6,2;13,9;353;0,5
"2021-08-31 04:00";0,3;6,5;0,25;43,3;13,4;5,8;14,6;353;0,7
"2021-08-31 03:00";0,3;7,7;0,25;47,7;13,4;5,8;15,1;358;0,6
"2021-08-31 02:00";0,3;6,6;0,26;52,7;13,8;6,2;15,3;19;0,5
"2021-08-31 01:00";0,4;5,2;0,27;54,4;14,2;6,6;15,2;351;0,7
"2021-08-31 00:00";0,4;3,5;0,29;56,7;14,2;6,6;15,5;357;0,6
"2021-08-30 23:00";0,2;3,0;0,29;58,9;14,9;6,9;16,1;358;0,6
"2021-08-30 22:00";0,5;4,8;0,29;60,9;15,7;7,3;16,8;345;0,8
