Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2017-06-30 23:00";0,6;2,2;0,14;43,7;6,3;2,2;15,0;31;0,9
"2017-06-30 22:00";0,6;3,6;0,15;46,4;6,7;2,9;15,1;51;1,0
"2017-06-30 21:00";0,5;4,1;0,16;47,7;6,7;3,7;15,2;50;1,1
"2017-06-30 20:00";0,2;5,4;0,18;48,9;6,7;3,7;15,4;50;1,1
"2017-06-30 19:00";0,2;6,5;0,18;49,0;6,7;3,7;15,2;52;1,4
"2017-06-30 18:00";0,2;7,1;0,16;49,1;6,7;4,0;15,2;52;1,3
"2017-06-30 17:00";0,2;8,0;0,16;48,8;7,8;4,4;15,1;346;0,6
"2017-06-30 16:00";0,4;8,0;0,15;48,7;8,9;4,4;15,0;32;0,7
"2017-06-30 15:00";0,1;7,9;0,15;49,5;8,9;4,4;14,9;45;1,2
"2017-06-30 14:00";0,2;7,6;0,15;50,0;8,1;2,9;14,9;51;1,4
"2017-06-30 13:00";0,0;6,8;0,15;53,1;7,4;1,5;14,9;52;1,6
"2017-06-30 12:00";0,1;9,2;0,15;52,6;7,4;1,5;15,1;53;1,6
"2017-06-30 11:00";0,4;9,7;0,16;53,2;7,0;1,5;15,6;71;1,9
"2017-06-30 10:00";0,4;11,3;0,16;49,9;6,7;1,1;15,8;76;2,0
"2017-06-30 09:00";0,3;7,2;0,14;54,1;6,7;0,7;15,6;64;1,7
"2017-06-30 08:00";0,2;4,7;0,14;56,9;7,0;0,7;15,3;67;1,8
"2017-06-30 07:00";0,4;1,6;0,13;64,9;7,4;0,7;15,1;70;1,9
"2017-06-30 06:00";0,4;0,4;0,12;71,2;7,4;1,1;15,0;72;1,7
"2017-06-30 05:00";0,3;-0,2;0,12;68,9;7,8;1,5;14,7;38;0,8
"2017-06-30 04:00";0,2;0,7;0,12;63,6;8,1;1,5;14,8;49;0,9
"2017-06-30 03:00";0,2;0,2;0,13;67,9;8,1;1,5;15,7;67;1,4
"2017-06-30 02:00";0,3;1,6;0,12;66,7;8,9;1,5;17,1;71;1,5
"2017-06-30 01:00";0,3;4,1;0,13;60,5;9,6;1,5;17,6;84;2,3
"2017-06-30 00:00";0,5;5,7;0,13;56,3;9,6;1,5;18,0;84;2,2
