Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2020-09-30 23:00";0,4;5,4;0,20;42,9;18,5;4,5;12,5;23;0,5
"2020-09-30 22:00";0,4;8,3;0,21;43,2;13,4;4,1;12,7;21;0,6
"2020-09-30 21:00";0,4;11,7;0,21;44,0;13,4;4,1;13,1;43;0,6
"2020-09-30 20:00";0,6;10,2;0,22;43,3;13,8;4,1;13,6;14;0,6
"2020-09-30 19:00";0,5;8,7;0,21;50,0;14,3;4,1;14,9;360;0,5
"2020-09-30 18:00";0,5;5,6;0,19;60,5;14,3;4,1;16,3;40;0,9
"2020-09-30 17:00";0,6;3,4;0,19;63,1;13,8;3,7;17,0;41;1,1
"2020-09-30 16:00";0,7;3,2;0,19;63,8;13,4;3,3;17,1;48;1,0
"2020-09-30 15:00";0,6;3,6;0,19;62,9;13,4;3,3;17,0;72;1,6
"2020-09-30 14:00";0,5;3,1;0,19;59,9;10,1;2,9;16,7;71;1,4
"2020-09-30 13:00";0,5;4,5;0,18;53,5;6,7;2,5;15,9;78;1,6
"2020-09-30 12:00";0,5;3,7;0,18;44,2;6,7;2,5;14,8;59;1,4
"2020-09-30 11:00";0,4;4,1;0,19;35,1;5,9;2,5;13,6;51;0,9
"2020-09-30 10:00";0,5;8,0;0,20;31,3;5,0;2,5;12,9;49;0,7
"2020-09-30 09:00";0,4;19,7;0,22;22,5;5,0;2,5;12,4;58;0,6
"2020-09-30 08:00";0,4;7,6;0,23;31,4;5,9;2,1;12,1;56;0,8
"2020-09-30 07:00";0,4;2,5;0,19;30,1;6,7;1,6;12,2;66;0,8
"2020-09-30 06:00";0,4;1,0;0,18;28,3;6,7;1,6;12,4;61;0,7
"2020-09-30 05:00";0,4;1,3;0,19;26,9;6,3;1,2;12,7;51;0,7
"2020-09-30 04:00";0,5;1,0;0,19;26,9;5,9;0,8;12,9;17;0,3
"2020-09-30 03:00";0,4;1,0;0,18;29,8;5,9;0,8;13,0;67;0,4
"2020-09-30 02:00";0,4;1,3;0,18;30,4;5,9;1,2;13,0;107;0,8
"2020-09-30 01:00";0,3;1,8;0,18;27,7;5,9;1,6;13,0;87;0,7
"2020-09-30 00:00";0,4;3,4;0,18;24,3;5,9;1,6;13,0;90;0,8
"2020-09-29 23:00";0,4;3,1;0,19;26,5;6,3;2,1;13,0;84;0,9
"2020-09-29 22:00";0,4;4,8;0,20;26,0;6,7;2,5;13,0;86;1,0
"2020-09-29 21:00";0,4;7,0;0,21;23,3;6,7;2,5;13,2;83;0,9
"2020-09-29 20:00";0,5;8,7;0,24;22,9;6,7;2,1;13,3;90;0,9
"2020-09-29 19:00";0,3;13,2;0,28;21,7;6,7;1,6;13,5;93;0,6
"2020-09-29 18:00";0,5;18,1;0,26;19,4;6,7;1,6;13,7;79;0,5
"2020-09-29 17:00";0,4;12,7;0,25;23,4;8,4;2,5;13,6;112;0,7
"2020-09-29 16:00";0,4;10,6;0,23;23,1;10,1;3,3;13,6;97;0,8
"2020-09-29 15:00";0,4;7,9;0,24;24,6;10,1;3,3;13,5;124;0,9
"2020-09-29 14:00";0,4;8,6;0,21;21,6;10,9;3,7;13,3;133;1,1
"2020-09-29 13:00";0,4;4,2;0,21;19,3;11,7;4,1;13,5;119;1,1
"2020-09-29 12:00";0,3;4,1;0,22;19,2;11,7;4,1;13,6;114;1,4
"2020-09-29 11:00";0,4;3,4;0,22;20,1;12,2;4,1;13,3;107;1,3
"2020-09-29 10:00";0,5;6,8;0,22;18,7;12,6;4,1;13,0;97;1,1
"2020-09-29 09:00";0,4;7,6;0,22;18,4;12,6;4,1;12,9;100;1,1
"2020-09-29 08:00";0,4;5,1;0,20;21,6;11,3;4,1;12,6;107;1,1
"2020-09-29 07:00";0,4;4,0;0,19;23,9;10,1;4,1;12,6;98;0,8
"2020-09-29 06:00";0,4;1,8;0,20;26,9;10,1;4,1;12,5;99;1,0
"2020-09-29 05:00";0,3;1,1;0,19;28,7;10,1;5,8;12,5;94;0,8
"2020-09-29 04:00";0,4;0,7;0,19;30,5;10,1;7,4;12,4;91;1,0
"2020-09-29 03:00";0,4;1,1;0,19;31,9;10,1;7,4;12,5;95;0,8
"2020-09-29 02:00";0,4;1,4;0,19;33,3;18,9;8,7;12,5;111;0,9
"2020-09-29 01:00";0,4;1,5;0,20;35,2;27,7;9,9;12,5;96;1,2
"2020-09-29 00:00";0,3;2,1;0,22;36,6;27,7;9,9;12,5;107;1,1
"2020-09-28 23:00";0,4;5,0;0,30;37,6;30,2;9,5;12,5;100;1,2
"2020-09-28 22:00";0,5;7,1;0,26;37,1;32,7;9,1;12,7;106;1,0
"2020-09-28 21:00";0,5;8,1;0,28;37,0;32,7;9,1;12,8;94;1,3
"2020-09-28 20:00";0,5;10,3;0,28;35,7;31,0;7,8;13,1;93;1,2
"2020-09-28 19:00";0,5;8,1;0,24;40,5;29,4;6,6;13,4;116;1,6
"2020-09-28 18:00";0,5;8,3;0,21;42,2;29,4;6,6;13,7;114;2,0
"2020-09-28 17:00";0,7;9,5;0,24;45,8;30,6;7,0;13,9;85;1,9
"2020-09-28 16:00";0,7;7,3;0,22;50,8;31,9;7,4;14,0;69;1,7
"2020-09-28 15:00";0,8;5,5;0,18;54,9;31,9;7,4;14,6;62;1,6
"2020-09-28 14:00";0,7;5,6;0,18;55,8;32,3;7,4;14,1;45;1,2
"2020-09-28 13:00";0,8;6,2;0,18;56,1;32,7;7,4;14,3;47;1,6
"2020-09-28 12:00";0,6;10,7;0,18;50,5;32,7;7,4;13,6;60;1,5
"2020-09-28 11:00";0,7;12,3;0,20;44,3;36,9;7,8;12,4;76;1,7
"2020-09-28 10:00";0,7;18,9;0,21;36,0;41,1;8,2;11,5;82;1,4
"2020-09-28 09:00";0,7;25,2;0,22;29,5;41,1;8,2;10,8;87;1,3
"2020-09-28 08:00";0,6;20,0;0,23;32,1;40,3;7,8;10,3;87;1,2
"2020-09-28 07:00";0,6;7,9;0,20;41,1;39,4;7,4;10,6;73;0,7
"2020-09-28 06:00";0,5;2,3;0,20;49,0;39,4;7,4;11,1;107;0,7
"2020-09-28 05:00";0,6;2,0;0,18;50,7;36,9;7,4;11,5;83;0,6
"2020-09-28 04:00";0,5;0,7;0,18;54,1;34,4;7,4;12,1;92;0,9
"2020-09-28 03:00";0,6;0,8;0,18;56,5;34,4;7,4;13,0;98;0,8
"2020-09-28 02:00";0,6;0,9;0,18;58,9;37,3;7,8;13,7;79;0,5
"2020-09-28 01:00";0,6;1,3;0,18;60,9;40,3;8,2;14,6;100;0,8
"2020-09-28 00:00";0,7;2,4;0,18;61,3;40,3;8,2;15,2;87;1,3
"2020-09-27 23:00";0,8;3,6;0,20;60,8;44,5;8,2;15,8;80;1,5
"2020-09-27 22:00";0,7;6,6;0,21;59,7;48,7;8,2;16,6;74;1,6
"2020-09-27 21:00";0,7;5,9;0,22;62,3;48,7;8,2;17,4;59;1,8
"2020-09-27 20:00";0,9;10,7;0,23;59,0;44,5;8,2;18,0;58;1,3
"2020-09-27 19:00";1,0;11,9;0,23;61,9;40,3;8,2;19,0;72;1,3
"2020-09-27 18:00";1,4;5,9;0,23;71,4;40,3;8,2;20,1;82;1,8
"2020-09-27 17:00";1,7;3,7;0,20;75,7;36,5;7,8;20,7;98;2,1
"2020-09-27 16:00";1,2;3,5;0,20;76,3;32,7;7,4;21,0;97;2,6
"2020-09-27 15:00";1,1;4,3;0,20;71,9;32,7;7,4;20,3;86;2,2
"2020-09-27 14:00";1,0;5,5;0,22;63,2;27,7;7,0;19,0;70;2,0
"2020-09-27 13:00";1,2;5,9;0,19;63,0;22,7;6,6;18,0;78;2,2
"2020-09-27 12:00";1,1;4,3;0,19;61,3;22,7;6,6;16,6;84;2,4
"2020-09-27 11:00";1,0;6,7;0,20;57,4;21,4;6,2;15,3;71;1,9
"2020-09-27 10:00";1,0;6,6;0,19;56,3;20,1;5,8;14,0;82;1,7
"2020-09-27 09:00";0,8;5,5;0,18;56,7;20,1;5,8;13,0;69;1,3
"2020-09-27 08:00";0,6;4,6;0,18;54,9;21,0;7,4;12,2;70;0,7
"2020-09-27 07:00";0,6;1,6;0,17;59,4;21,8;9,1;12,1;88;0,7
"2020-09-27 06:00";0,7;2,6;0,17;60,1;21,8;9,1;12,7;108;0,7
"2020-09-27 05:00";0,6;1,8;0,17;62,6;26,8;10,7;13,3;90;0,8
"2020-09-27 04:00";0,7;5,5;0,18;59,7;31,9;12,4;13,2;45;0,4
"2020-09-27 03:00";0,8;3,1;0,20;65,0;31,9;12,4;13,9;98;0,7
"2020-09-27 02:00";1,2;3,6;0,21;68,4;40,7;17,7;14,8;87;1,0
"2020-09-27 01:00";1,5;4,0;0,26;71,5;49,5;23,1;15,8;108;1,0
"2020-09-27 00:00";2,1;8,5;0,30;70,7;49,5;23,1;16,4;111;0,9
"2020-09-26 23:00";2,4;8,4;0,40;74,5;47,4;18,5;17,2;116;1,1
"2020-09-26 22:00";2,4;6,1;0,29;79,7;45,3;14,0;18,2;113;1,3
"2020-09-26 21:00";2,1;8,0;0,29;81,8;45,3;14,0;18,9;118;0,9
"2020-09-26 20:00";1,8;6,9;0,30;86,0;44,9;14,0;19,9;105;1,3
"2020-09-26 19:00";1,5;5,9;0,30;90,6;44,5;14,0;21,0;104;1,8
"2020-09-26 18:00";1,6;7,6;0,36;89,0;44,5;14,0;21,9;92;2,0
"2020-09-26 17:00";1,8;7,3;0,37;87,6;42,8;13,2;22,0;94;2,2
"2020-09-26 16:00";1,8;4,9;0,29;87,1;41,1;12,4;21,7;91;2,4
"2020-09-26 15:00";1,8;4,4;0,24;80,5;41,1;12,4;21,2;93;2,5
"2020-09-26 14:00";2,1;4,6;0,24;78,2;37,8;12,8;20,9;97;2,3
