Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2023-12-31 23:00";0,5;9,4;0,32;32,4;8,7;7,1;-7,6;326;0,9
"2023-12-31 22:00";0,4;5,7;0,26;37,1;8,7;7,1;-7,2;301;1,1
"2023-12-31 21:00";0,4;6,0;0,28;36,5;8,3;6,3;-7,4;298;1,3
"2023-12-31 20:00";0,6;9,6;0,34;33,9;7,9;5,5;-7,4;301;1,2
"2023-12-31 19:00";0,7;11,5;0,33;32,6;7,9;5,5;-7,6;305;1,0
"2023-12-31 18:00";0,4;10,6;0,33;34,9;7,1;5,1;-7,0;314;1,3
"2023-12-31 17:00";0,4;9,8;0,28;36,0;6,3;4,7;-6,8;317;1,7
"2023-12-31 16:00";0,4;7,6;0,27;39,8;6,3;4,7;-6,2;316;2,3
"2023-12-31 15:00";0,7;6,9;0,27;43,1;4,7;3,5;-5,7;333;1,5
"2023-12-31 14:00";0,3;6,9;0,26;43,3;3,2;2,4;-5,3;326;1,7
"2023-12-31 13:00";0,7;4,8;0,22;45,9;3,2;2,4;-5,1;339;1,2
"2023-12-31 12:00";0,6;4,6;0,22;46,0;2,4;2,0;-5,2;339;1,4
"2023-12-31 11:00";0,5;2,8;0,22;47,5;1,6;1,6;-5,0;343;1,2
"2023-12-31 10:00";0,5;2,2;0,22;49,6;1,6;1,6;-4,7;338;1,3
"2023-12-31 09:00";0,2;0,5;0,20;54,2;3,2;2,8;-4,5;335;2,0
"2023-12-31 08:00";0,2;0,7;0,20;54,9;4,7;3,9;-4,1;334;1,7
"2023-12-31 07:00";0,1;-0,1;0,19;55,5;4,7;3,9;-3,5;337;1,9
"2023-12-31 06:00";0,3;0,5;0,19;58,3;5,1;4,3;-3,4;348;1,4
"2023-12-31 05:00";0,4;1,4;0,21;54,4;5,5;4,7;-3,8;346;1,6
"2023-12-31 04:00";0,4;5,8;0,24;41,9;5,5;4,7;-3,8;346;1,6
"2023-12-31 03:00";0,6;12,6;0,26;31,5;4,0;3,5;-3,6;345;1,7
"2023-12-31 02:00";0,2;13,0;0,26;30,5;2,4;2,4;-3,0;342;1,4
"2023-12-31 01:00";0,3;7,2;0,27;37,3;2,4;2,4;-2,1;342;1,8
"2023-12-31 00:00";0,2;6,3;0,26;28,9;21,0;17,7;-0,3;349;1,2
"2023-12-30 23:00";0,1;7,1;0,25;30,5;39,6;33,0;1,6;333;0,8
"2023-12-30 22:00";0,3;9,3;0,33;41,6;39,6;33,0;2,6;248;0,6
"2023-12-30 21:00";0,4;20,0;0,92;27,4;31,2;25,2;3,0;208;0,5
"2023-12-30 20:00";1,3;51,5;1,25;6,0;22,9;17,3;3,2;169;0,3
"2023-12-30 19:00";0,8;49,6;1,17;7,8;22,9;17,3;3,3;135;0,4
"2023-12-30 18:00";0,5;44,2;1,11;12,1;24,5;17,7;3,3;163;0,3
"2023-12-30 17:00";0,3;24,6;0,54;30,4;26,1;18,1;3,3;273;0,0
"2023-12-30 16:00";0,5;19,1;0,43;39,7;26,1;18,1;3,5;232;0,4
"2023-12-30 15:00";0,4;32,6;0,75;26,1;21,4;13,0;3,8;192;0,5
