Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2016-09-30 23:00";0,3;4,9;0,23;72,6;15,3;3,6;11,4;177;1,0
"2016-09-30 22:00";0,4;7,7;0,27;71,5;15,3;3,6;11,7;176;0,9
"2016-09-30 21:00";0,4;7,5;0,28;73,3;14,8;3,6;12,2;173;0,8
"2016-09-30 20:00";0,6;8,4;0,26;74,2;14,3;3,6;12,7;193;0,7
"2016-09-30 19:00";0,8;7,1;0,25;77,5;14,3;3,6;13,5;207;1,1
"2016-09-30 18:00";0,6;5,7;0,17;79,8;13,4;3,6;14,5;215;1,5
"2016-09-30 17:00";0,5;5,2;0,16;79,5;12,4;3,6;15,5;214;1,1
"2016-09-30 16:00";0,5;3,7;0,16;79,0;12,4;3,6;16,1;215;1,5
"2016-09-30 15:00";0,6;3,4;0,16;74,9;11,5;3,2;16,5;207;1,5
"2016-09-30 14:00";0,5;4,0;0,16;71,1;10,5;2,7;15,8;204;1,7
"2016-09-30 13:00";0,6;4,2;0,15;70,9;10,5;2,7;15,2;205;1,5
"2016-09-30 12:00";0,7;6,2;0,16;66,3;9,1;2,7;14,4;194;0,9
"2016-09-30 11:00";0,5;4,2;0,15;67,2;7,6;2,7;15,2;197;1,5
"2016-09-30 10:00";0,6;5,5;0,16;63,3;7,6;2,7;15,0;191;1,6
"2016-09-30 09:00";0,5;8,2;0,19;57,0;7,2;2,3;14,1;184;1,4
"2016-09-30 08:00";0,5;7,1;0,17;55,9;6,7;1,8;13,6;180;1,2
"2016-09-30 07:00";0,3;3,6;0,14;59,9;6,7;1,8;14,1;178;1,1
"2016-09-30 06:00";0,3;2,6;0,14;61,6;5,7;1,4;14,7;176;1,3
"2016-09-30 05:00";0,4;1,9;0,13;60,8;4,8;0,9;15,5;184;1,2
"2016-09-30 04:00";0,4;2,3;0,14;57,3;4,8;0,9;16,1;183;1,4
"2016-09-30 03:00";0,7;2,5;0,14;54,8;6,2;1,4;16,0;184;1,7
"2016-09-30 02:00";0,6;2,9;0,14;50,7;7,6;1,8;15,7;190;2,2
