Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2016-04-30 23:00";0,6;43,0;0,72;49,4;46,8;25,6;8,5;215;0,2
"2016-04-30 22:00";0,6;27,3;0,55;74,9;28,7;13,5;9,9;121;0,2
"2016-04-30 21:00";1,1;9,3;0,27;97,4;27,2;10,3;11,2;58;0,8
"2016-04-30 20:00";0,8;8,2;0,33;100,8;28,2;10,3;12,3;75;1,5
"2016-04-30 19:00";0,6;7,5;0,37;100,9;28,2;13,0;13,2;79;1,7
"2016-04-30 18:00";0,8;8,7;0,39;101,2;29,6;12,6;13,4;86;1,7
"2016-04-30 17:00";0,3;8,1;0,33;101,3;28,2;6,3;13,8;85;1,4
"2016-04-30 16:00";0,4;4,5;0,19;103,4;23,9;2,7;13,8;73;1,3
"2016-04-30 15:00";0,4;2,4;0,19;108,9;22,5;3,1;14,4;354;1,1
"2016-04-30 14:00";0,4;3,1;0,19;107,0;19,1;4,5;13,7;4;1,4
"2016-04-30 13:00";0,5;3,2;0,18;105,1;18,2;3,6;12,7;339;1,2
"2016-04-30 12:00";0,4;3,6;0,18;103,5;19,1;1,3;11,8;322;1,5
"2016-04-30 11:00";-0,3;2,3;0,17;104,4;24,4;1,3;10,8;348;1,1
"2016-04-30 10:00";-0,4;2,1;0,18;102,5;17,2;2,7;9,5;354;1,2
"2016-04-30 09:00";-0,1;2,7;0,18;100,5;14,3;5,4;8,0;357;1,4
"2016-04-30 08:00";0,8;9,0;0,22;78,2;21,0;9,0;5,9;334;1,0
"2016-04-30 07:00";0,8;12,4;0,22;62,8;22,9;11,7;3,7;325;0,8
"2016-04-30 06:00";0,8;19,8;0,25;47,6;20,1;9,9;2,7;313;0,7
"2016-04-30 05:00";0,7;18,1;0,22;52,1;14,8;7,2;3,2;302;0,6
"2016-04-30 04:00";0,6;11,2;0,23;63,0;21,0;7,6;3,7;311;0,9
"2016-04-30 03:00";0,8;15,9;0,25;60,9;26,3;8,5;4,3;319;1,0
"2016-04-30 02:00";0,8;22,1;0,29;59,6;34,4;12,1;4,8;301;0,6
"2016-04-30 01:00";0,8;31,2;0,44;55,0;40,2;15,7;5,7;295;0,6
"2016-04-30 00:00";0,9;39,6;0,49;49,7;36,3;12,6;6,7;304;0,7
"2016-04-29 23:00";0,7;35,5;0,38;61,4;31,5;6,7;7,5;324;0,6
"2016-04-29 22:00";0,7;20,9;0,30;78,5;25,3;4,9;8,7;345;0,6
"2016-04-29 21:00";0,8;11,6;0,23;89,7;22,5;7,2;10,2;28;0,7
"2016-04-29 20:00";0,6;6,0;0,22;100,9;22,0;7,6;11,7;28;1,3
"2016-04-29 19:00";0,8;6,3;0,22;101,4;27,2;5,8;12,5;37;1,8
"2016-04-29 18:00";0,1;4,8;0,19;98,9;29,6;5,4;13,1;27;1,7
"2016-04-29 17:00";0,1;6,5;0,19;94,8;30,1;6,3;13,0;41;1,6
"2016-04-29 16:00";-0,0;5,9;0,19;94,6;35,8;5,8;12,9;62;1,6
"2016-04-29 15:00";0,0;6,2;0,20;95,7;30,6;4,0;13,0;75;1,5
"2016-04-29 14:00";-0,2;3,5;0,19;104,5;26,3;4,9;12,8;46;1,0
"2016-04-29 13:00";-0,3;6,2;0,19;96,6;26,3;7,2;12,0;40;0,7
"2016-04-29 12:00";-0,2;8,2;0,21;89,9;28,7;9,4;11,1;55;0,9
"2016-04-29 11:00";-0,1;8,0;0,21;81,8;22,5;10,8;10,1;101;0,7
"2016-04-29 10:00";-0,1;11,1;0,22;64,1;24,9;9,4;8,1;105;1,0
"2016-04-29 09:00";0,3;22,0;0,26;46,7;30,1;7,2;6,0;135;1,2
"2016-04-29 08:00";0,7;18,5;0,31;36,9;18,2;6,3;3,2;119;1,0
"2016-04-29 07:00";0,7;20,5;0,25;30,2;13,9;5,8;1,8;127;0,6
"2016-04-29 06:00";0,8;14,6;0,24;32,9;15,3;4,9;1,8;160;0,6
"2016-04-29 05:00";0,8;8,6;0,23;44,7;18,2;4,5;2,4;162;0,6
"2016-04-29 04:00";0,7;6,6;0,25;55,0;13,9;5,4;2,9;165;0,5
"2016-04-29 03:00";0,6;2,7;0,24;78,1;8,1;5,4;3,9;187;0,7
"2016-04-29 02:00";0,7;1,2;0,20;92,1;5,7;4,0;4,8;218;0,7
"2016-04-29 01:00";0,8;1,1;0,20;95,1;0,5;3,6;5,1;228;0,9
"2016-04-29 00:00";0,4;1,9;0,20;91,9;7,2;3,6;5,4;223;1,4
"2016-04-28 23:00";0,4;4,7;0,28;78,0;21,5;10,8;7,3;203;1,5
"2016-04-28 22:00";0,3;11,0;0,41;71,9;21,5;15,7;9,0;202;0,9
"2016-04-28 21:00";0,3;13,8;0,36;57,4;19,1;11,2;10,8;174;1,2
"2016-04-28 20:00";0,3;10,6;0,33;53,1;18,2;8,1;11,8;118;1,7
"2016-04-28 19:00";0,3;14,5;0,37;47,2;13,4;7,6;11,9;113;1,9
"2016-04-28 18:00";0,5;18,8;0,35;46,6;15,8;8,1;12,1;107;2,1
"2016-04-28 17:00";0,1;14,0;0,25;49,1;28,2;8,5;13,2;92;2,5
"2016-04-28 16:00";0,3;8,4;0,25;57,1;29,6;7,2;14,1;95;2,9
"2016-04-28 15:00";0,2;5,6;0,22;51,9;24,4;3,6;13,1;99;2,6
"2016-04-28 14:00";0,4;6,4;0,24;41,9;22,5;2,7;11,0;103;2,6
"2016-04-28 13:00";0,4;6,7;0,25;35,2;15,3;4,0;9,5;100;2,3
"2016-04-28 12:00";0,5;11,0;0,23;30,7;13,4;4,5;8,3;88;1,6
"2016-04-28 11:00";0,5;10,9;0,21;30,9;15,3;4,9;7,9;92;1,7
"2016-04-28 10:00";0,3;13,7;0,24;29,1;24,4;5,4;7,6;91;1,4
"2016-04-28 09:00";0,6;19,8;0,26;26,6;27,2;4,9;7,1;93;1,4
"2016-04-28 08:00";0,6;19,6;0,27;27,5;19,1;4,5;6,3;104;1,1
"2016-04-28 07:00";0,6;11,3;0,22;34,5;13,9;4,0;5,3;92;1,3
"2016-04-28 06:00";0,5;5,2;0,19;41,0;10,5;3,1;4,6;59;1,0
"2016-04-28 05:00";0,6;1,5;0,18;45,1;12,9;2,7;4,3;33;0,7
"2016-04-28 04:00";0,4;5,9;0,19;45,3;24,4;4,5;4,7;91;0,6
"2016-04-28 03:00";0,5;9,2;0,19;49,8;44,0;7,6;5,0;98;0,5
"2016-04-28 02:00";0,5;9,3;0,20;54,7;35,8;8,1;5,8;118;0,7
"2016-04-28 01:00";0,6;2,5;0,20;70,9;18,2;5,4;6,5;130;0,9
"2016-04-28 00:00";0,5;10,8;0,20;69,8;17,7;4,0;7,2;113;1,0
"2016-04-27 23:00";0,6;16,0;0,24;65,7;20,1;4,9;8,4;91;1,3
"2016-04-27 22:00";0,6;20,8;0,27;64,3;22,9;4,0;9,7;90;1,3
"2016-04-27 21:00";0,3;13,8;0,25;72,3;17,2;3,1;11,1;101;1,3
"2016-04-27 20:00";0,2;9,2;0,22;79,7;13,4;4,5;12,6;102;1,9
"2016-04-27 19:00";0,5;8,2;0,20;85,4;17,2;5,8;13,2;101;2,1
"2016-04-27 18:00";0,3;8,9;0,21;87,9;17,7;4,5;13,5;96;2,1
"2016-04-27 17:00";0,4;5,5;0,20;92,4;14,8;1,8;13,0;113;2,0
"2016-04-27 16:00";0,1;3,5;0,19;92,3;16,3;1,8;12,2;121;1,6
