Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2021-02-28 23:00";-0,0;11,7;0,35;52,8;36,6;31,9;2,4;245;0,9
"2021-02-28 22:00";0,0;36,5;0,78;27,8;36,6;31,9;2,4;237;0,8
"2021-02-28 21:00";0,3;65,8;1,73;5,3;21,6;17,4;2,5;221;0,7
"2021-02-28 20:00";0,3;61,1;1,63;14,9;6,7;3,0;3,6;212;0,9
"2021-02-28 19:00";0,1;27,6;0,72;47,5;6,7;3,0;4,4;279;0,6
"2021-02-28 18:00";0,1;14,9;0,32;63,0;10,1;3,0;5,7;312;1,3
"2021-02-28 17:00";0,1;7,0;0,22;72,5;13,4;3,0;6,3;320;2,0
"2021-02-28 16:00";0,2;4,9;0,20;76,2;13,4;3,0;6,6;320;2,2
"2021-02-28 15:00";0,2;3,6;0,20;74,7;9,3;3,0;6,7;315;2,0
"2021-02-28 14:00";0,1;3,4;0,21;73,8;5,2;3,0;5,9;316;2,0
"2021-02-28 13:00";0,1;5,3;0,27;68,6;5,2;3,0;5,5;314;1,8
"2021-02-28 12:00";0,0;4,8;0,28;63,3;4,8;2,2;4,6;301;1,4
"2021-02-28 11:00";0,1;3,5;0,25;61,6;4,5;1,5;3,8;297;1,4
"2021-02-28 10:00";0,1;5,1;0,20;55,8;4,5;1,5;2,7;277;1,3
"2021-02-28 09:00";0,3;5,6;0,23;54,5;4,1;1,5;2,1;255;1,0
"2021-02-28 08:00";0,3;2,7;0,20;56,8;3,7;1,5;1,8;240;1,2
"2021-02-28 07:00";0,3;1,8;0,17;64,2;3,7;1,5;1,6;252;1,1
"2021-02-28 06:00";0,3;0,9;0,17;68,0;4,5;2,2;1,4;244;0,9
"2021-02-28 05:00";-0,1;0,7;0,17;69,6;5,2;3,0;1,1;223;1,3
"2021-02-28 04:00";-0,1;0,3;0,17;71,3;5,2;3,0;0,7;236;0,9
"2021-02-28 03:00";0,2;0,9;0,18;69,9;5,6;3,3;0,6;237;1,2
"2021-02-28 02:00";0,1;2,2;0,19;67,9;6,0;3,7;0,7;231;1,0
"2021-02-28 01:00";-0,3;1,7;0,19;68,1;6,0;3,7;0,6;269;1,0
"2021-02-28 00:00";-0,4;2,8;0,21;66,1;14,2;11,1;0,3;276;1,0
"2021-02-27 23:00";-0,3;4,8;0,25;63,5;22,4;18,5;0,2;268;1,0
"2021-02-27 22:00";-0,3;11,2;0,33;56,9;22,4;18,5;0,4;253;1,1
"2021-02-27 21:00";-0,2;16,0;0,52;51,2;14,2;11,1;0,5;233;1,1
"2021-02-27 20:00";-0,0;43,3;1,33;31,1;6,0;3,7;0,7;206;1,2
"2021-02-27 19:00";-0,1;16,8;0,48;57,6;6,0;3,7;1,5;244;0,7
"2021-02-27 18:00";-0,2;7,9;0,27;68,0;5,6;3,3;1,7;306;1,6
"2021-02-27 17:00";-0,3;6,9;0,29;68,2;5,2;3,0;2,2;310;1,9
"2021-02-27 16:00";-0,3;7,3;0,26;69,1;5,2;3,0;2,5;319;2,4
"2021-02-27 15:00";-0,3;6,4;0,29;69,3;4,5;2,6;2,6;318;2,3
"2021-02-27 14:00";-0,1;6,9;0,26;67,3;3,7;2,2;3,1;321;2,6
"2021-02-27 13:00";-0,3;4,3;0,24;69,1;3,7;2,2;3,3;316;2,4
"2021-02-27 12:00";-0,3;4,6;0,25;67,0;3,4;1,9;2,6;312;2,2
"2021-02-27 11:00";-0,2;4,5;0,24;66,7;3,0;1,5;2,4;312;2,3
"2021-02-27 10:00";-0,3;3,6;0,21;66,3;3,0;1,5;2,3;305;2,0
"2021-02-27 09:00";-0,2;1,9;0,21;68,5;4,1;1,5;2,1;307;1,9
"2021-02-27 08:00";-0,3;1,4;0,21;70,5;5,2;1,5;2,0;304;1,8
"2021-02-27 07:00";-0,3;1,0;0,18;71,0;5,2;1,5;2,4;321;2,4
"2021-02-27 06:00";-0,2;0,6;0,17;68,1;6,0;1,9;2,4;315;2,2
"2021-02-27 05:00";-0,2;1,4;0,17;63,2;6,7;2,2;2,5;311;2,1
"2021-02-27 04:00";-0,2;2,9;0,17;55,9;6,7;2,2;2,2;298;1,5
