Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2018-03-31 23:00";0,8;6,7;0,29;78,9;17,1;3,8;0,8;123;1,2
"2018-03-31 22:00";1,0;6,3;0,29;81,8;15,4;4,7;1,0;124;1,2
"2018-03-31 21:00";1,2;9,2;0,30;80,2;17,5;7,2;1,1;96;1,0
"2018-03-31 20:00";1,5;11,5;0,34;78,2;21,8;7,7;1,3;120;1,0
"2018-03-31 19:00";2,7;16,8;0,35;71,8;35,9;20,0;1,5;67;0,7
"2018-03-31 18:00";2,7;21,8;0,54;75,0;34,6;21,7;1,7;76;0,9
"2018-03-31 17:00";1,5;11,6;0,40;81,0;20,5;8,1;1,9;92;1,1
"2018-03-31 16:00";2,6;10,5;0,30;79,9;17,5;6,4;1,9;100;1,0
"2018-03-31 15:00";2,9;10,5;0,30;80,2;19,2;6,0;1,5;61;1,1
"2018-03-31 14:00";1,3;7,0;0,28;84,4;21,4;6,0;0,9;61;1,3
"2018-03-31 13:00";1,2;6,4;0,28;85,1;19,2;4,3;0,4;50;1,1
"2018-03-31 12:00";1,3;6,3;0,29;85,0;18,4;4,3;-0,3;46;1,0
"2018-03-31 11:00";1,1;6,3;0,25;84,7;14,5;6,0;-1,0;40;1,1
"2018-03-31 10:00";1,0;4,9;0,24;85,8;11,5;5,5;-1,6;37;1,3
"2018-03-31 09:00";0,9;5,0;0,23;85,3;13,7;3,8;-2,0;45;1,2
"2018-03-31 08:00";1,3;4,7;0,23;84,5;13,7;1,3;-2,1;53;1,0
"2018-03-31 07:00";2,5;6,4;0,22;82,8;12,8;0,9;-2,1;69;1,1
"2018-03-31 06:00";4,9;18,4;0,23;73,1;13,7;1,7;-2,1;65;1,1
"2018-03-31 05:00";3,8;11,6;0,23;79,8;12,0;1,7;-2,0;68;1,2
"2018-03-31 04:00";4,4;17,1;0,24;75,7;9,4;2,1;-1,9;72;1,2
"2018-03-31 03:00";1,5;6,5;0,24;87,1;8,6;4,3;-1,8;89;1,5
"2018-03-31 02:00";0,8;2,6;0,25;91,3;10,3;5,1;-1,7;97;1,7
"2018-03-31 01:00";0,8;3,3;0,25;90,5;12,0;3,8;-1,7;101;1,7
"2018-03-31 00:00";0,9;4,0;0,28;91,6;11,5;4,3;-1,4;102;1,8
"2018-03-30 23:00";1,1;5,2;0,29;91,2;12,0;5,5;-1,3;111;2,0
"2018-03-30 22:00";1,3;7,2;0,32;89,6;15,0;4,7;-1,1;104;1,9
"2018-03-30 21:00";0,9;9,6;0,32;88,2;18,0;4,3;-0,9;100;1,6
"2018-03-30 20:00";0,9;9,5;0,34;90,7;16,7;4,7;-0,6;120;2,2
"2018-03-30 19:00";1,0;7,2;0,29;92,8;12,8;5,1;-0,1;124;2,4
"2018-03-30 18:00";1,1;8,0;0,27;93,3;10,7;4,7;0,2;121;2,3
"2018-03-30 17:00";0,8;6,1;0,25;94,5;16,2;4,3;0,2;122;2,3
"2018-03-30 16:00";1,3;5,0;0,25;95,9;28,6;5,1;1,1;136;2,6
"2018-03-30 15:00";1,5;7,4;0,30;97,4;32,9;3,4;2,3;108;2,7
"2018-03-30 14:00";1,2;6,0;0,27;99,5;31,6;2,6;2,4;104;3,1
"2018-03-30 13:00";1,3;6,3;0,30;101,7;40,6;2,6;2,4;89;3,0
"2018-03-30 12:00";0,9;5,2;0,23;102,3;38,5;1,7;1,6;93;3,0
"2018-03-30 11:00";4,2;15,5;0,23;83,3;27,8;3,8;0,5;89;2,2
"2018-03-30 10:00";3,6;19,1;0,30;70,8;27,4;8,9;-1,6;86;1,6
"2018-03-30 09:00";1,0;16,7;0,38;64,9;33,3;17,4;-3,7;94;1,3
"2018-03-30 08:00";1,1;18,1;0,30;57,1;47,0;20,4;-5,2;132;0,9
"2018-03-30 07:00";0,9;29,7;0,29;37,7;36,8;10,6;-5,6;179;0,3
"2018-03-30 06:00";0,9;18,6;0,26;47,3;16,2;4,3;-5,6;176;0,7
"2018-03-30 05:00";0,7;11,9;0,28;53,0;17,5;5,5;-5,1;180;0,7
"2018-03-30 04:00";0,6;15,7;0,28;52,6;23,1;5,1;-4,6;172;0,6
"2018-03-30 03:00";0,5;32,2;0,36;35,4;23,5;6,0;-4,2;188;0,7
"2018-03-30 02:00";0,6;16,3;0,41;53,0;27,8;9,4;-3,5;189;0,7
"2018-03-30 01:00";0,7;27,8;0,44;47,5;37,2;9,8;-3,0;176;0,7
"2018-03-30 00:00";0,4;31,5;0,44;46,4;44,5;9,8;-2,3;179;0,6
"2018-03-29 23:00";0,6;31,9;0,46;54,5;48,7;10,2;-1,3;157;0,6
"2018-03-29 22:00";0,5;31,5;0,40;58,1;57,7;8,5;-0,6;147;0,5
"2018-03-29 21:00";0,4;53,3;0,37;41,9;82,9;8,5;0,4;89;0,5
"2018-03-29 20:00";0,5;61,9;0,40;42,3;58,1;6,8;1,7;97;0,2
"2018-03-29 19:00";0,3;6,6;0,25;90,3;25,2;6,0;2,5;142;0,5
"2018-03-29 18:00";0,3;4,5;0,28;93,2;;;2,8;98;1,0
"2018-03-29 17:00";0,6;6,5;0,22;90,8;;;2,8;96;1,2
"2018-03-29 16:00";0,3;3,4;0,21;93,7;18,4;;2,8;72;0,4
"2018-03-29 15:00";0,2;2,5;0,21;93,8;18,4;;2,5;109;0,2
"2018-03-29 14:00";0,2;3,0;0,22;92,1;18,4;;2,1;111;0,5
"2018-03-29 13:00";0,4;3,1;0,22;90,7;17,5;;1,7;228;0,7
"2018-03-29 12:00";0,8;3,5;0,24;89,4;23,9;;1,1;218;0,8
"2018-03-29 11:00";0,7;10,6;0,28;79,5;32,5;;0,4;212;0,4
"2018-03-29 10:00";1,2;23,3;0,30;64,7;96,6;;-0,8;279;0,5
"2018-03-29 09:00";2,0;75,1;0,77;17,8;112,0;;-3,0;141;0,3
"2018-03-29 08:00";0,8;63,2;0,49;5,2;44,9;;-6,7;111;0,3
"2018-03-29 07:00";0,2;46,1;0,33;9,8;20,9;;-7,4;156;0,6
"2018-03-29 06:00";0,3;25,4;0,31;28,2;13,7;;-7,0;122;0,5
"2018-03-29 05:00";0,2;9,7;0,28;51,9;14,1;;-5,9;135;0,4
"2018-03-29 04:00";0,5;12,9;0,32;49,3;14,5;;-5,4;163;0,7
"2018-03-29 03:00";0,7;6,1;0,34;65,8;10,7;;-4,4;178;0,6
"2018-03-29 02:00";1,2;5,2;0,27;74,0;10,7;;-3,6;225;0,8
"2018-03-29 01:00";1,4;5,2;0,30;74,9;15,4;;-3,0;233;0,7
"2018-03-29 00:00";1,6;9,5;0,40;71,3;32,1;;-2,5;242;0,7
"2018-03-28 23:00";1,1;24,1;0,78;59,6;63,3;;-2,2;214;0,6
"2018-03-28 22:00";1,6;46,8;1,24;43,8;82,5;;-1,8;212;0,7
