Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2017-07-31 23:00";0,5;3,6;0,16;78,7;10,3;2,2;19,6;212;0,4
"2017-07-31 22:00";0,6;5,1;0,17;78,3;9,9;2,2;20,9;185;0,4
"2017-07-31 21:00";0,6;5,4;0,17;82,7;9,6;2,2;21,7;172;0,9
"2017-07-31 20:00";0,8;7,3;0,18;85,7;9,6;2,2;22,0;189;0,6
"2017-07-31 19:00";0,9;7,4;0,18;90,0;8,8;2,2;22,8;238;0,5
"2017-07-31 18:00";0,9;11,4;0,21;85,0;8,1;2,2;23,7;182;0,7
"2017-07-31 17:00";0,9;9,4;0,17;89,1;8,1;2,6;24,1;194;0,6
"2017-07-31 16:00";1,0;5,7;0,16;94,9;10,7;2,9;25,1;214;0,6
"2017-07-31 15:00";1,2;4,7;0,16;99,2;13,3;2,9;25,9;186;1,1
"2017-07-31 14:00";1,4;2,8;0,15;101,2;13,3;2,9;26,1;181;0,9
"2017-07-31 13:00";1,7;2,9;0,14;95,8;17,3;2,9;24,8;184;1,0
"2017-07-31 12:00";1,7;3,0;0,15;84,0;21,4;2,9;23,1;183;1,2
"2017-07-31 11:00";1,4;7,4;0,17;56,1;21,4;2,9;20,2;154;1,0
"2017-07-31 10:00";1,4;23,5;0,21;28,5;14,4;2,9;17,6;100;0,8
"2017-07-31 09:00";1,5;22,7;0,24;22,3;7,4;4,8;17,1;121;0,3
"2017-07-31 08:00";1,6;14,4;0,18;23,6;7,4;6,6;15,9;125;0,9
"2017-07-31 07:00";1,7;8,7;0,18;19,7;8,1;6,6;14,3;114;0,7
"2017-07-31 06:00";1,5;6,6;0,17;14,6;8,8;6,6;13,5;98;0,6
"2017-07-31 05:00";1,2;4,2;0,16;17,8;8,8;7,7;13,4;118;0,5
"2017-07-31 04:00";1,7;9,0;0,19;14,1;12,9;8,8;13,4;101;0,4
"2017-07-31 03:00";1,8;16,8;0,25;13,1;17,0;8,8;13,8;166;0,1
"2017-07-31 02:00";1,3;15,2;0,23;14,9;17,0;8,8;14,1;95;0,2
"2017-07-31 01:00";1,0;20,7;0,30;14,2;12,2;5,9;14,9;103;0,4
"2017-07-31 00:00";1,1;29,4;0,43;14,5;7,4;2,9;15,7;115;0,3
"2017-07-30 23:00";1,1;35,2;0,46;19,6;7,4;2,9;16,7;92;0,3
"2017-07-30 22:00";0,8;17,5;0,36;46,4;7,4;2,9;18,4;124;0,4
"2017-07-30 21:00";0,9;4,3;0,20;66,1;7,4;2,6;19,7;186;0,3
"2017-07-30 20:00";1,0;3,2;0,18;69,1;7,4;2,2;20,4;237;0,4
"2017-07-30 19:00";1,1;3,0;0,18;68,6;7,0;2,2;20,2;239;0,4
"2017-07-30 18:00";0,9;2,7;0,19;70,8;6,6;2,2;20,1;234;0,4
"2017-07-30 17:00";0,9;2,9;0,18;74,0;6,6;2,2;19,4;198;0,6
"2017-07-30 16:00";0,8;2,9;0,16;73,9;6,3;2,2;20,4;223;0,7
"2017-07-30 15:00";1,0;1,3;0,15;79,3;5,9;2,2;21,6;219;0,7
"2017-07-30 14:00";1,0;1,0;0,15;86,1;5,9;2,2;22,0;244;0,8
"2017-07-30 13:00";1,0;1,1;0,15;81,4;5,9;2,2;21,3;256;0,8
