Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2016-02-29 23:00";3,6;61,1;0,74;4,1;68,0;61,5;-7,2;136;0,3
"2016-02-29 22:00";6,1;76,6;2,31;7,9;93,6;94,3;-5,6;174;0,5
"2016-02-29 21:00";6,5;86,3;1,98;8,5;85,0;77,7;-4,7;189;0,8
"2016-02-29 20:00";4,8;85,5;1,73;8,7;98,1;89,4;-3,7;156;0,6
"2016-02-29 19:00";4,3;81,1;2,36;14,3;70,2;68,2;-2,2;209;0,7
"2016-02-29 18:00";2,6;46,9;0,86;35,1;25,6;18,9;-0,8;208;0,8
"2016-02-29 17:00";1,8;12,9;0,34;62,1;17,6;7,6;-0,2;239;0,8
"2016-02-29 16:00";2,0;9,3;0,27;64,3;14,4;5,4;-0,2;263;0,7
"2016-02-29 15:00";1,8;10,6;0,28;61,0;16,6;7,6;-0,3;272;0,9
"2016-02-29 14:00";1,9;10,6;0,28;59,2;18,0;9,0;-0,7;264;1,0
"2016-02-29 13:00";1,9;13,8;0,30;54,3;15,8;9,4;-0,8;288;1,0
"2016-02-29 12:00";2,0;10,0;0,24;59,1;14,4;9,4;-1,1;300;1,1
"2016-02-29 11:00";1,7;14,7;0,27;53,6;16,6;8,5;-1,5;298;1,1
"2016-02-29 10:00";2,0;14,2;0,31;55,2;15,3;9,4;-1,8;249;0,9
"2016-02-29 09:00";1,9;21,4;0,34;46,0;16,2;12,1;-2,0;284;0,7
"2016-02-29 08:00";2,3;24,3;0,34;39,7;20,2;14,8;-2,5;261;0,9
"2016-02-29 07:00";2,3;19,7;0,32;42,2;18,4;13,9;-1,8;232;0,6
"2016-02-29 06:00";2,4;8,7;0,26;54,8;16,6;11,7;-0,9;204;0,9
"2016-02-29 05:00";2,7;5,7;0,22;62,2;19,4;12,6;-0,3;239;0,9
"2016-02-29 04:00";2,2;4,2;0,22;63,4;22,5;13,0;-0,4;212;0,8
"2016-02-29 03:00";2,4;6,3;0,25;64,9;20,2;12,6;-0,4;245;0,7
"2016-02-29 02:00";2,5;6,0;0,26;68,4;20,2;12,6;-0,7;231;0,7
"2016-02-29 01:00";2,1;5,4;0,29;71,0;22,5;17,1;-0,9;211;0,8
"2016-02-29 00:00";2,3;10,2;0,37;68,7;31,5;23,8;-0,3;223;0,9
"2016-02-28 23:00";2,7;19,6;0,61;60,5;42,3;31,9;-0,2;200;0,9
"2016-02-28 22:00";2,6;59,3;0,85;18,4;60,3;53,0;-0,9;169;0,8
"2016-02-28 21:00";4,1;79,5;1,50;10,7;78,8;69,1;-0,8;168;0,8
"2016-02-28 20:00";4,6;83,4;1,84;11,0;106,6;92,9;-0,5;176;0,9
"2016-02-28 19:00";5,3;86,2;2,37;15,5;97,6;89,4;0,4;166;0,5
"2016-02-28 18:00";4,2;49,7;1,44;42,8;54,4;50,7;1,8;197;0,8
"2016-02-28 17:00";3,1;22,6;0,75;65,4;41,4;33,2;2,7;194;0,9
"2016-02-28 16:00";2,6;16,8;0,49;68,8;28,8;21,6;2,9;203;1,0
"2016-02-28 15:00";2,3;8,5;0,36;74,3;24,3;16,2;2,9;192;1,6
"2016-02-28 14:00";2,1;7,4;0,36;73,6;29,2;19,3;2,6;186;1,8
"2016-02-28 13:00";2,1;7,2;0,44;74,5;29,2;18,4;2,7;192;1,8
"2016-02-28 12:00";2,0;6,5;0,37;72,9;24,8;16,6;2,1;200;1,7
"2016-02-28 11:00";1,8;7,0;0,33;69,5;26,1;14,4;1,1;192;1,8
"2016-02-28 10:00";1,9;7,9;0,31;69,2;19,4;11,2;0,4;188;2,0
"2016-02-28 09:00";1,4;4,9;0,26;70,8;10,4;9,0;0,1;190;2,1
"2016-02-28 08:00";1,6;4,9;0,22;70,3;9,9;12,6;-0,1;185;2,1
"2016-02-28 07:00";1,7;2,8;0,20;72,4;8,6;13,5;0,2;187;1,8
"2016-02-28 06:00";1,6;1,9;0,20;72,9;14,8;5,8;0,1;191;2,1
"2016-02-28 05:00";1,6;2,0;0,20;72,2;15,3;3,6;0,0;192;1,9
"2016-02-28 04:00";1,4;2,5;0,21;69,8;10,4;4,0;0,1;193;1,7
"2016-02-28 03:00";1,5;3,1;0,21;70,3;14,4;4,5;0,8;193;1,7
"2016-02-28 02:00";1,7;2,7;0,22;70,7;17,1;5,8;0,8;199;1,7
"2016-02-28 01:00";1,7;3,5;0,26;70,4;15,3;8,5;0,4;194;1,7
"2016-02-28 00:00";1,6;6,6;0,33;69,1;18,0;9,4;0,6;194;1,3
"2016-02-27 23:00";2,1;8,8;0,37;64,5;21,6;10,3;0,7;195;1,4
"2016-02-27 22:00";2,2;11,1;0,45;61,2;23,0;11,7;0,7;189;1,3
"2016-02-27 21:00";1,7;11,4;0,48;63,4;25,2;15,3;1,8;195;1,5
"2016-02-27 20:00";1,9;12,2;0,52;63,9;26,1;18,0;2,0;193;1,8
"2016-02-27 19:00";2,1;14,0;0,51;59,0;32,4;22,4;1,7;188;1,5
